paper_id,title,year,arxiv_id,source_url,tier,modality,task,evidence_level,code_repo_url,code_commit,citation_key,notes
arxiv_2602.00800,JTok On Token Embedding as another Axis of Scaling Law via Joint Token Self-modulation,2026,2602.00800,https://arxiv.org/abs/2602.00800,long_tail,,,,,,arxiv2602.00800,
arxiv_2602.01456,Rectified LpJEPA Joint-Embedding Predictive Architectures with Sparse and Maximum-Entropy Representations,2026,2602.01456,https://arxiv.org/abs/2602.01456,long_tail,,,,,,arxiv2602.01456,
arxiv_2602.01924,Bayesian Integration of Nonlinear Incomplete Clinical Data,2026,2602.01924,https://arxiv.org/abs/2602.01924,long_tail,,,,,,arxiv2602.01924,
arxiv_2602.02093,Cell-JEPA Latent Representation Learning for Single-Cell Transcriptomics,2026,2602.02093,https://arxiv.org/abs/2602.02093,long_tail,,,,,,arxiv2602.02093,
arxiv_2602.02620,CryoLVM Self-supervised Learning from Cryo-EM Density Maps with Large Vision Models,2026,2602.02620,https://arxiv.org/abs/2602.02620,long_tail,,,,,,arxiv2602.02620,
arxiv_2602.03604,A Lightweight Library for Energy-Based Joint-Embedding Predictive Architectures,2026,2602.03604,https://arxiv.org/abs/2602.03604,long_tail,,,,,,arxiv2602.03604,
arxiv_2602.04643,MTS-JEPA Multi-Resolution Joint-Embedding Predictive Architecture for Time-Series Anomaly Prediction,2026,2602.04643,https://arxiv.org/abs/2602.04643,long_tail,,,,,,arxiv2602.04643,
arxiv_2602.05638,UniSurg A Video-Native Foundation Model for Universal Understanding of Surgical Videos,2026,2602.05638,https://arxiv.org/abs/2602.05638,long_tail,,,,,,arxiv2602.05638,
arxiv_2602.07000,Hierarchical JEPA Meets Predictive Remote Control in Beyond 5G Networks,2026,2602.07000,https://arxiv.org/abs/2602.07000,long_tail,,,,,,arxiv2602.07000,
arxiv_2602.07016,Gaussian-Constrained LeJEPA Representations for Unsupervised Scene Discovery and Pose Consistency,2026,2602.07016,https://arxiv.org/abs/2602.07016,long_tail,,,,,,arxiv2602.07016,
arxiv_2602.09040,Soft Clustering Anchors for Self-Supervised Speech Representation Learning in Joint Embedding Prediction Architectures,2026,2602.09040,https://arxiv.org/abs/2602.09040,long_tail,,,,,,arxiv2602.09040,
arxiv_2602.11389,Causal-JEPA Learning World Models through Object-Level Latent Interventions,2026,2602.11389,https://arxiv.org/abs/2602.11389,long_tail,,,,,,arxiv2602.11389,
arxiv_2602.12245,Intrinsic-Energy Joint Embedding Predictive Architectures Induce Quasimetric Spaces,2026,2602.12245,https://arxiv.org/abs/2602.12245,long_tail,,,,,,arxiv2602.12245,
arxiv_2602.12540,Self-Supervised JEPA-based World Models for LiDAR Occupancy Completion and Forecasting,2026,2602.12540,https://arxiv.org/abs/2602.12540,long_tail,,,,,,arxiv2602.12540,
arxiv_2602.14642,GenPANIS A Latent-Variable Generative Framework for Forward and Inverse PDE Problems in Multiphase Media,2026,2602.14642,https://arxiv.org/abs/2602.14642,long_tail,,,,,,arxiv2602.14642,
arxiv_2602.14672,MeFEm Medical Face Embedding model,2026,2602.14672,https://arxiv.org/abs/2602.14672,long_tail,,,,,,arxiv2602.14672,
arxiv_2602.14771,GOT-JEPA Generic Object Tracking with Model Adaptation and Occlusion Handling using Joint-Embedding Predictive Architect,2026,2602.14771,https://arxiv.org/abs/2602.14771,long_tail,,,,,,arxiv2602.14771,
arxiv_2602.17162,JEPA-DNA Grounding Genomic Foundation Models through Joint-Embedding Predictive Architectures,2026,2602.17162,https://arxiv.org/abs/2602.17162,long_tail,,,,,,arxiv2602.17162,
arxiv_2602.19322,US-JEPA A Joint Embedding Predictive Architecture for Medical Ultrasound,2026,2602.19322,https://arxiv.org/abs/2602.19322,long_tail,,,,,,arxiv2602.19322,
arxiv_2602.20676,PRECTR-V2 Unified Relevance-CTR Framework with Cross-User Preference Mining Exposure Bias Correction and LLM-Distilled E,2026,2602.20676,https://arxiv.org/abs/2602.20676,long_tail,,,,,,arxiv2602.20676,
arxiv_2602.22552,Relatron Automating Relational Machine Learning over Relational Databases,2026,2602.22552,https://arxiv.org/abs/2602.22552,long_tail,,,,,,arxiv2602.22552,
arxiv_2603.00049,BiJEPA Bi-directional Joint Embedding Predictive Architecture for Symmetric Representation Learning,2026,2603.00049,https://arxiv.org/abs/2603.00049,long_tail,,,,,,arxiv2603.00049,
arxiv_2603.02650,Improving Diffusion Planners by Self-Supervised Action Gating with Energies,2026,2603.02650,https://arxiv.org/abs/2603.02650,long_tail,,,,,,arxiv2603.02650,
arxiv_2603.08731,Hebbian-Oscillatory Co-Learning,2026,2603.08731,https://arxiv.org/abs/2603.08731,long_tail,,,,,,arxiv2603.08731,
arxiv_2603.10712,FutureVLA Joint Visuomotor Prediction for Vision-Language-Action Model,2026,2603.10712,https://arxiv.org/abs/2603.10712,long_tail,,,,,,arxiv2603.10712,
arxiv_2603.13227,Representation Learning for Spatiotemporal Physical Systems,2026,2603.13227,https://arxiv.org/abs/2603.13227,long_tail,,,,,,arxiv2603.13227,
arxiv_2603.13265,Knowledge Rules and Their Embeddings Two Paths towards Neuro-Symbolic JEPA,2026,2603.13265,https://arxiv.org/abs/2603.13265,long_tail,,,,,,arxiv2603.13265,
arxiv_2603.14886,PASTE Physics-Aware Scattering Topology Embedding Framework for SAR Object Detection,2026,2603.14886,https://arxiv.org/abs/2603.14886,long_tail,,,,,,arxiv2603.14886,
arxiv_2603.16281,Laya A LeJEPA Approach to EEG via Latent Prediction over Reconstruction,2026,2603.16281,https://arxiv.org/abs/2603.16281,long_tail,,,,,,arxiv2603.16281,
arxiv_2603.19100,LuMamba Latent Unified Mamba for Electrode Topology-Invariant and Efficient EEG Modeling,2026,2603.19100,https://arxiv.org/abs/2603.19100,long_tail,,,,,,arxiv2603.19100,
arxiv_2603.19312,LeWorldModel Stable End-to-End Joint-Embedding Predictive Architecture from Pixels,2026,2603.19312,https://arxiv.org/abs/2603.19312,long_tail,,,,,,arxiv2603.19312,
arxiv_2603.20048,Structured Latent Dynamics in Wireless CSI via Homomorphic World Models,2026,2603.20048,https://arxiv.org/abs/2603.20048,long_tail,,,,,,arxiv2603.20048,
arxiv_2603.20111,Var-JEPA A Variational Formulation of the Joint-Embedding Predictive Architecture -- Bridging Predictive and Generative,2026,2603.20111,https://arxiv.org/abs/2603.20111,long_tail,,,,,,arxiv2603.20111,
arxiv_2603.20327,Probing the Latent World Emergent Discrete Symbols and Physical Structure in Latent Representations,2026,2603.20327,https://arxiv.org/abs/2603.20327,long_tail,,,,,,arxiv2603.20327,
arxiv_2603.20987,Interpreting the Synchronization Gap The Hidden Mechanism Inside Diffusion Transformers,2026,2603.20987,https://arxiv.org/abs/2603.20987,long_tail,,,,,,arxiv2603.20987,
arxiv_2603.22649,Pretext Matters An Empirical Study of SSL Methods in Medical Imaging,2026,2603.22649,https://arxiv.org/abs/2603.22649,long_tail,,,,,,arxiv2603.22649,
arxiv_2603.25216,A Wireless World Model for AI-Native 6G Networks,2026,2603.25216,https://arxiv.org/abs/2603.25216,long_tail,,,,,,arxiv2603.25216,
arxiv_2603.26799,Gaussian Joint Embeddings For Self-Supervised Representation Learning,2026,2603.26799,https://arxiv.org/abs/2603.26799,long_tail,,,,,,arxiv2603.26799,
arxiv_2603.29796,JEPA-MSAC A Joint-Embedding Predictive Architecture for Multimodal Sensing-Assisted Communications,2026,2603.29796,https://arxiv.org/abs/2603.29796,long_tail,,,,,,arxiv2603.29796,
arxiv_2604.01349,PI-JEPA Label-Free Surrogate Pretraining for Coupled Multiphysics Simulation via Operator-Split Latent Prediction,2026,2604.01349,https://arxiv.org/abs/2604.01349,long_tail,,,,,,arxiv2604.01349,
arxiv_2604.08503,Phantom Physics-Infused Video Generation via Joint Modeling of Visual and Latent Physical Dynamics,2026,2604.08503,https://arxiv.org/abs/2604.08503,long_tail,,,,,,arxiv2604.08503,
arxiv_2604.13518,From Alignment to Prediction A Study of Self-Supervised Learning and Predictive Representation Learning,2026,2604.13518,https://arxiv.org/abs/2604.13518,long_tail,,,,,,arxiv2604.13518,
arxiv_2604.16333,A Discordance-Aware Multimodal Framework with Multi-Agent Clinical Reasoning,2026,2604.16333,https://arxiv.org/abs/2604.16333,long_tail,,,,,,arxiv2604.16333,
arxiv_2604.16585,The Global Neural World Model Spatially Grounded Discrete Topologies for Action-Conditioned Planning,2026,2604.16585,https://arxiv.org/abs/2604.16585,long_tail,,,,,,arxiv2604.16585,
arxiv_2604.21046,JEPAMatch Geometric Representation Shaping for Semi-Supervised Learning,2026,2604.21046,https://arxiv.org/abs/2604.21046,long_tail,,,,,,arxiv2604.21046,
arxiv_2604.23336,Efficient Rationale-based Retrieval On-policy Distillation from Generative Rerankers based on JEPA,2026,2604.23336,https://arxiv.org/abs/2604.23336,long_tail,,,,,,arxiv2604.23336,
arxiv_2604.27361,CasLayout Cascaded 3D Layout Diffusion for Indoor Scene Synthesis with Implicit Relation Modeling,2026,2604.27361,https://arxiv.org/abs/2604.27361,long_tail,,,,,,arxiv2604.27361,
arxiv_2604.27743,Why Self-Supervised Encoders Want to Be Normal,2026,2604.27743,https://arxiv.org/abs/2604.27743,long_tail,,,,,,arxiv2604.27743,
arxiv_2605.03245,Text-Conditional JEPA for Learning Semantically Rich Visual Representations,2026,2605.03245,https://arxiv.org/abs/2605.03245,long_tail,,,,,,arxiv2605.03245,
arxiv_2605.04943,DART A Vision-Language Foundation Model for Comprehensive Rope Condition Monitoring,2026,2605.04943,https://arxiv.org/abs/2605.04943,long_tail,,,,,,arxiv2605.04943,
arxiv_2605.05586,AeroJEPA Learning Semantic Latent Representations for Scalable 3D Aerodynamic Field Modeling,2026,2605.05586,https://arxiv.org/abs/2605.05586,long_tail,,,,,,arxiv2605.05586,
arxiv_2605.09241,Sub-JEPA Subspace Gaussian Regularization for Stable End-to-End World Models,2026,2605.09241,https://arxiv.org/abs/2605.09241,long_tail,,,,,,arxiv2605.09241,
arxiv_2605.10616,MulTaBench Benchmarking Multimodal Tabular Learning with Text and Image,2026,2605.10616,https://arxiv.org/abs/2605.10616,long_tail,,,,,,arxiv2605.10616,
arxiv_2605.10840,Clin-JEPA A Multi-Phase Co-Training Framework for Joint-Embedding Predictive Pretraining on EHR Patient Trajectories,2026,2605.10840,https://arxiv.org/abs/2605.10840,long_tail,,,,,,arxiv2605.10840,
arxiv_2605.11130,HEPA A Self-Supervised Horizon-Conditioned Event Predictive Architecture for Time Series,2026,2605.11130,https://arxiv.org/abs/2605.11130,long_tail,,,,,,arxiv2605.11130,
arxiv_2605.12852,Multitask Multimodal Fusion with Tabular Foundation Models for Peak and Durability Prediction of Pertussis Booster Respo,2026,2605.12852,https://arxiv.org/abs/2605.12852,long_tail,,,,,,arxiv2605.12852,
arxiv_2605.14120,Mini-JEPA Foundation Model Fleet Enables Agentic Hydrologic Intelligence,2026,2605.14120,https://arxiv.org/abs/2605.14120,long_tail,,,,,,arxiv2605.14120,
arxiv_2605.14406,GeoViSTA Geospatial Vision-Tabular Transformer for Multimodal Environment Representation,2026,2605.14406,https://arxiv.org/abs/2605.14406,long_tail,,,,,,arxiv2605.14406,
arxiv_2605.14759,Crys-JEPA Accelerating Crystal Discovery via Embedding Screening and Generative Refinement,2026,2605.14759,https://arxiv.org/abs/2605.14759,long_tail,,,,,,arxiv2605.14759,
arxiv_2605.15394,Representation Without Reward A JEPA Audit for LLM Fine-Tuning,2026,2605.15394,https://arxiv.org/abs/2605.15394,long_tail,,,,,,arxiv2605.15394,
arxiv_2605.15466,Entity-Centric World Models Interaction-Aware Masking for Causal Video Prediction,2026,2605.15466,https://arxiv.org/abs/2605.15466,long_tail,,,,,,arxiv2605.15466,
arxiv_2605.17165,Factorized Latent Dynamics for Video JEPA An Empirical Study of Auxiliary Objectives,2026,2605.17165,https://arxiv.org/abs/2605.17165,long_tail,,,,,,arxiv2605.17165,
arxiv_2605.17671,PEIRA Learning Predictive Encoders through Inter-View Regressor Alignment,2026,2605.17671,https://arxiv.org/abs/2605.17671,long_tail,,,,,,arxiv2605.17671,
arxiv_2605.18419,Geometry-Aware Uncertainty Coresets for Robust Visual In-Context Learning in Histopathology,2026,2605.18419,https://arxiv.org/abs/2605.18419,long_tail,,,,,,arxiv2605.18419,
arxiv_2605.20811,Demo-JEPA Joint-Embedding Predictive Architecture for One-shot Cross-Embodiment Imitation,2026,2605.20811,https://arxiv.org/abs/2605.20811,long_tail,,,,,,arxiv2605.20811,
arxiv_2605.21075,SpectralEarth-FM Bringing Hyperspectral Imagery into Multimodal Earth Observation Pretraining,2026,2605.21075,https://arxiv.org/abs/2605.21075,long_tail,,,,,,arxiv2605.21075,
arxiv_2605.21963,ChronoMedicalWorld A Medical World Model for Learning Patient Trajectories from Longitudinal Care Data,2026,2605.21963,https://arxiv.org/abs/2605.21963,long_tail,,,,,,arxiv2605.21963,
arxiv_2605.24631,Beyond Generative Priors Minority Sampling with JEPA-Guided Diffusion,2026,2605.24631,https://arxiv.org/abs/2605.24631,long_tail,,,,,,arxiv2605.24631,
arxiv_2605.25313,UWM-JEPA Predictive World Models That Imagine in Belief Space,2026,2605.25313,https://arxiv.org/abs/2605.25313,long_tail,,,,,,arxiv2605.25313,
arxiv_2605.31068,HQ-JEPA Hybrid Quantum Joint-Embedding Predictive Architecture for Cross-Modal Remote Sensing Representation Learning,2026,2605.31068,https://arxiv.org/abs/2605.31068,long_tail,,,,,,arxiv2605.31068,
arxiv_2605.31111,Subspace-Decomposed JEPAs Disentangling Progression and Content in Latent World Models,2026,2605.31111,https://arxiv.org/abs/2605.31111,long_tail,,,,,,arxiv2605.31111,
arxiv_2605.31580,Giving Sensors a Voice Multimodal JEPA for Semantic Time-Series Embeddings,2026,2605.31580,https://arxiv.org/abs/2605.31580,long_tail,,,,,,arxiv2605.31580,
unk_tutorial_on_joint_embedding_predictive_architectures_jepa_foundations_applications_and_future_directions,tutorial on joint embedding predictive architectures jepa foundations applications and future directions,,,,core,,,,,,unk_tutorial_on_joint_embedding_predictive_architectures_jepa_foundations_applications_and_future_directions,
2020_neurips_2020_bootstrap_your_own_latent_a_new_approach_to_self_supervised_learning_paper_pdf,neurips 2020 bootstrap your own latent a new approach to self supervised learning paper pdf,2020,,,core,,,,,,2020_neurips_2020_bootstrap_your_own_latent_a_new_approach_to_self_supervised_learning_paper_pdf,
